Salary_Brackets,Number of Postings,Percentage of Whole (Postings),Number of Positions,Percentage of Whole (Positions)
$ 100 000 - $ 120 000,732,11.39%,888,6.70%
$ 120 000 - $ 140 000,596,9.28%,636,4.80%
$ 35 000 - $ 45 000,259,4.30%,958,7.23%
$ 45 000 - $ 55 000,484,7.53%,1728,13.04%
$ 55 000 - $ 65 000,433,6.74%,1249,9.43%
$ 65 000 - $ 75 000,1093,17.01%,2864,21.62%
$ 75 000 - $ 85 000,587,9.14%,957,7.22%
$ 85 000 -$ 100 000,1081,16.82%,1493,11.27%
Less than $ 30 000,339,5.28%,1199,9.05%
More than $ 140 000,821,12.78%,1278,9.65%
