month,number_of_job_postings
2021-01,1
2021-07,2
2021-09,6
2021-10,2
2021-12,6
2022-01,4
2022-02,6
2022-03,13
2022-04,8
2022-05,3
2022-06,29
2022-07,40
2022-08,25
2022-09,50
2022-10,40
2022-11,50
2022-12,28
2023-01,45
2023-02,27
2023-03,30
2023-04,42
2023-05,26
2023-06,30
2023-07,50
2023-08,83
2023-09,31
2023-10,56
2023-11,47
2023-12,27
2024-01,74
2024-02,46
2024-03,79
2024-04,118
2024-05,114
2024-06,144
2024-07,102
2024-08,169
2024-09,198
2024-10,240
2024-11,190
2024-12,417
2025-01,485
2025-02,633
2025-03,715
2025-04,810
2025-05,1084
