Work_Location,location_count
"96-05 Horace Harding Expway",610
"30-30 Thomson Ave L I City Qns",566
"42-09 28th Street",502
"59-17 Junction Blvd Corona Ny",388
"55 Water St Ny Ny",376
"4 World Trade Center",264
"NYC - All Boroughs",198
"100 Gold Street",176
"198 E161St Street Bronx N.Y.",170
"100 Church St., N.Y.",159
"465 Columbus Ave. Valhalla, Ny",148
"42 Broadway, N.Y.",128
"30-30 47TH AVE",126
"2 Lafayette St., N.Y.",110
"255 Greenwich Street",96
"125 Worth Street, Nyc",92
"375 Pearl Street",83
"1 Centre St., N.Y.",73
"75-20 Astoria Blvd",72
"33 Beaver St, New York Ny",67
"1 Hogan Pl./100 Centre St., N.",64
"470 Vanderbilt Ave",58
"5 Manhattan West",52
"215 E 161St St., Bronx",52
"109 E 16Th St., N.Y.",50
"455 First Ave., N.Y.",48
"123 William Street, NY, NY",44
"253 Broadway New York Ny",37
"120 Broadway, New York, NY",36
"80 Centre St., N.Y.",34
"59 Maiden Lane",32
"9 Metrotech Center, Brooklyn N",32
"34-02 Queens Boulevard Long Is",30
"199 River Road North",30
"150 William Street, New York N",28
"15 Metrotech",28
"22 Reade St, Ny",27
"2 Metro Tech",27
"329 Greenpoint Ave., Brooklyn",27
"335 Adams Street, Brooklyn Ny",26
"165 Cadman Plaza East",24
"Wards Island, N.Y.",24
"851 Grand Concourse, Bronx",23
"356 Flushing Ave, Brooklyn",21
"1 Police Plaza, N.Y.",21
"1826 Arthur Ave., Bronx",20
"Hazen St-A.M.K.C., E. Elm, Ny",19
"71 Smith Avenue, Kingston, Ny",18
"10 Walker Rd, Valhalla NY10595",18
"485 Throop Ave Brooklyn",17
"777 Third Avenue",16
"31 Chambers St., N.Y.",16
"180 Maiden Lane",16
"421 East 26th Street NY NY",16
"240-250-252 Livingston Street",16
"400 8Th Ave., N.Y.",15
"40 Worth St., N.Y.",14
"260 E 161st St., Brx",14
"34-33 Junction Blvd Queens",14
"22 Cortlandt Street",14
"1309 Fulton Ave Bronx",14
"1 Liberty Plaza NYC",13
"Flushing Meadow Pk Olmsted Ctr",12
"305 Rider Avenue, Bronx",12
"1601 Ave. S, Brooklyn",12
"275-285 Bergen St, Brooklyn Ny",12
"160 West 100Th Street Ny",12
"OCSE Central Court Svcs",12
"31-00 47 Ave, 3 FL, LIC NY",11
"260 Eleventh Ave., N.Y.",10
"95 Evergreen Ave Brooklyn",10
"88-26 Pitkin Avenue",10
"259 Bristol St., Brooklyn",10
"7870 State Rd 42 Grahamsville,",10
"105 St & 5 Ave",10
"16 Court St",10
"City Hall",9
"1932 Arthur Ave 2Nd Flr Bronx",8
"120-34 Queens Blvd, Kew Garden",8
"130 Stuyvesant Place, S.I.",8
"280 Broadway, 7th Floor, N.Y.",8
"890 Garrison Avenue",8
"Randalls Island 5-Boro Shops",8
"88-11 165 Street Jamaica",8
"2238 Fifth Ave New York",8
"350 Jay St, Brooklyn  Ny",8
"520 1St Ave., N.Y.",8
"158 E 115Th St., N.Y.",8
"1932 Arthur Ave, Bronx",8
"2551 Bainbridge Ave., Bronx",8
"182 Joline Ave, Staten Isl",8
"REES - Zone Coordination",8
"32-20 Northern Blvd, L.I.C. Ny",8
"165 E 126Th St., N.Y.",8
"12-26 31St Avenue Queens, N.Y.",8
"66 John Street, New York, Ny",6
"58-50 57 Road, Maspeth, N.Y.",6
"161-169 East 110 Street",6
"132 W 125Th St., N.Y.",6
"Rikers Island",6
"280 Broadway, 6th Floor, N.Y.",6
"52-35 58Th St., Woodside, Ny",6
"155 West Broadway New York N Y",6
"3701 Jerome Ave, Bx NY 10467",6
"560 Brook Avenue Bronx New Yor",6
"1 Bay St., S.I.,Ny",6
"92-31 Union Hall St. Jamaica N",6
"105 East 106 Street, New York,",6
"303 9Th Ave., N.Y.",6
"492 First Avenue, New York, Ny",6
"16 Court Street",6
"715 Ocean Terrace",6
"10 Richmond Terrace",6
"Bronx Floating Staff",6
"33-00 Northern Blvd., Lic Ny",6
"Brooklyn Floating Staff",6
"110 William St. N Y",5
"420 East 38Th St.",5
"90-27 Parsons Boulevard",4
"Corporate Secretary",4
"30-48 Linden Place",4
"1910 Monterey Ave., Bronx",4
"250 Broadway, N.Y.",4
"1780 Ocean Avenue",4
"31-89 123rd Street CP TLC",4
"2389 Route 28A, Shokan, Ny",4
"REES - Intake & Outreach",4
"101-07 Farragut Road, Brooklyn",4
"Proj & Operational Excellence",4
"41158 Highway 28, Margaretvill",4
"233 Broadway",4
"24 West 61 Street",4
"2501 Grand Concourse",4
"151-20 Jamaica Ave, Jamaica Ny",4
"120-55 Queens Blvd, Queens Ny",4
"1775 Grand Concourse",4
"1270 Victory Blvd, Staten Isl",4
"106-36 180th Street",4
"2 Washington Street",4
LHD-APPLICATION,4
"335 Central Ave., Brooklyn",4
"53-15 58Th St., Queens",4
"15 Skyline Drive",4
"101 Tyrellan Avenue",4
"32-11 Harper St., Corona, N.Y.",4
"330 Jay Street",4
"198 E 161st Street",4
"Forest Pk 80-30 Park Lane Quee",4
"516 Bergen St., Brooklyn",4
"103-00 Foster Avenue",4
"66-26 Metropolitan Ave., Queen",4
Baruch,4
"280 Broadway, 3rd Floor, N.Y.",4
"295 Flatbush Ext Brooklyn",4
"NYC Pub Hsg Preservation Trust",4
"General Litigation",3
"601 New Jersey Avenue",3
"154 St. Powells Cove-Whiteston",2
"LHD - PROJECT BASED UNIT",2
"115 Chrystie Street",2
"900 Sheridan Ave., Bronx",2
"39 Auburn Pl, Brooklyn",2
"78-88 Park Drive East QueensNY",2
"350 Marconi Street, Bronx, NY",2
"Fiorentino Plaza-Unity Plaza",2
"201 Bay Street, Staten Is Ny",2
"118-35 Queens Blvd",2
"111 Centre St., N.Y.",2
Policy,2
"Queens-SI Floating Staff",2
Washington-Lexington,2
"280 Broadway, 4th Floor, N.Y.",2
"600 W 168Th St., N.Y.",2
"1650 Selwyn Ave, Bronx",2
"Marble Hill Houses",2
"163 W 125 St, New York, Ny",2
"Lincoln Houses",2
Default,2
"W 181St St. & University Ave.,",2
"Office of CAO",2
"Douglass Houses",2
"1230 Zerega Avenue, Bronx Ny",2
"Todt Hill",2
"265 E 161st Street",2
"90-37 Parsons Blvd., Queens",2
"Vendor & Contract Mgmt",2
"107 Essex St., N.Y.",2
Brownsville,2
"1790 Grand Concourse, Bronx",2
"Landlord & Tenant",2
"61 BROADWAY, NY, NY",2
Johnson,2
"58-52 Grand Ave, Maspeth Queen",2
"BK/SI BRIEFING REVIEW",2
"Manhattan Neighborhood 02",2
"4055 Tenth Avenue",2
"30-10 Starr Avenue",2
"11 Metrotech Center",2
"1 Fordham Plaza, Bronx",2
"Hazen St-Sod-Supp.Svcs., E.Elm",2
"2500 Halsey Street",2
"Law-Tort Division",2
"122-66 Flatlands Ave",2
Patterson,2
"2 United Nations Plaza, NY",2
"1 Murray Hulbert Ave, Staten I",2
"26 Central Avenue, S.I.,",2
"530 West 166th Street",2
"5 Jay Street",2
"Special Repair Projects",2
"Park Dr E & Union Tpk.,Kew Grd",2
"Alley Pond Pk Tennis Union Tpk",2
"43-01 Berrian Blvd, Astoria Qu",2
"Real Estate Dev-Office of EVP",2
"3201 Jerome Ave, Bronx",2
"2398 State Rt 28A, Olive Bridg",2
"219 Beach 59Th St., Queens",2
"1377 Jerome Avenue, Bronx",2
"Office Of The Inspector Genera",2
"Clinton Houses",2
"560 West 133 Street, New York,",2
"Administrative Hearing Div",2
"Procurement Policy & Perf Mgt",2
"Manhattan Floating Staff",2
"250 Broadway, 12Th Fl.",2
"330 W 34Th St., N.Y.",2
"345 Adams St., Brooklyn",2
"Engineering Svcs & Oversight",2
"19 Grant Sq., Bklyn",2
"Wagner Houses",2
"Vandalia Houses",2
"450 Seventh Avenue",2
"Shore Rd-Chaplaincy, E. Elm, N",2
"16 Samantha Lane",2
"725 West 135th Street",2
"Project Management Team 1",2
"Stuyvesant Gardens",2
"Architecture Svcs, OS & Anal",2
"Heating Mgt-Operations",2
"135 Canal Street,Staten Island",2
"12 W 14Th St., N.Y.",2
"Internal Audit & Assessment",2
"30-01 HARPER STREET,CORONA,NY",2
"111 Livingston St., Bklyn., N.",2
"Inspections Unit",2
"Justice Sonia Sotomayor Houses",2
"94 Old Broadway, Ny",2
"11 Park Place, New York, Ny",2
"150-14 Jamaica Ave",2
"Fire Safety Unit",2
"Project Management Team 2",2
"280 Broadway, 5th Floor, N.Y.",2
"751 Mill Rd",2
"Solution Delivery - Operations",2
"320 Schermerhorn St., Brooklyn",2
"Sands & Navy Street  Bklyn N Y",2
"1286 Old Route 6",2
"Qns Gen, 82-68 164Th St. Qns,",2
"Mold ASMT & Remediation-DIR",2
"Perf Tracking and Analytics",2
"Customer Contact Center",2
"151 East 151st Street",2
"24-55 Bklyn Qns Expy Woodside",2
"Public Housing Tenancy Ops",2
"855 Remsen., Brooklyn",2
"Drew-Hamilton Houses",2
"Bronx River Houses",2
"EVP-Prop Mgmt Ops",2
"SVP for Capital Programs",2
"1218 Prospect Place Bklyn, N.Y",2
Brevoort,2
"A&CM Engineering Audit",2
"Brooklyn Neighborhood 07",2
"Office of the Senior Director",2
"8811 State Route 28",2
"250 Church St., N.Y.",2
"VP Office-PPPD",2
"3030 Third Ave",2
"Construction, Safety & Quality",2
"1 Battery Park Plaza",2
"I&O-Infrastructure Management",2
"282 East 3Rd St.",2
"Law-Real Estate & Eco Dev",2
"16 Little Hollow Road",2
Ravenswood,2
"Van Dyke Houses",2
"1887 Ralph Avenue",2
"260 East 161st Street",2
"25 Chapel St, Brooklyn Ny",2
Cybersecurity,2
"AFS-Payroll Division",2
"IT Customer Service Excellence",2
"233 Schermerhorn Street, Bklyn",1
"Flushg Meadw Pk Passarelle Bld",1
"Morrisania Air Rights",1
"250 Livingston Street",1
"126-02 82 Avenue Kew Gardens",1
"80 Maiden Lane",1
"111 Washington Ave, Albany, Ny",1
"1274 Bedford Ave., Brooklyn",1
"Environmental Health & Safety",1
"Pier A North River, N.Y.",1
