"JOB_ID";"Agency";"Posting_Type";"Number_Of_Positions";"Civil_Service_Title";"Job_Category";"Full_Time_Part_Time_Indicator";"Career_Level";"Work_Location";"Posting_Date";"Salary_Brackets"
631762;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"375 Pearl Street";"3/29/2024";"$ 65 000 - $ 75 000"
645891;"DEPT OF ENVIRONMENT PROTECTION";"External";2;"ASSISTANT CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"8/19/2024";"$ 65 000 - $ 75 000"
638323;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Social Services";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"6/13/2024";"$ 65 000 - $ 75 000"
710034;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"SR HEALTHCARE PROG PLAN ANLYST";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"4/7/2025";"$ 65 000 - $ 75 000"
714598;"DEPARTMENT OF FINANCE";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"66 John Street, New York, Ny";"5/20/2025";"$ 65 000 - $ 75 000"
557379;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"CLERICAL ASSOCIATE";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"123 William Street, NY, NY";"10/25/2022";"$ 35 000 - $ 45 000"
703210;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"SUMMER COLLEGE INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Student";"96-05 Horace Harding Expway";"2/18/2025";"$ 35 000 - $ 45 000"
628530;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"3/6/2024";"$ 65 000 - $ 75 000"
715489;"DEPT OF PARKS & RECREATION";"External";1;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"Flushing Meadow Pk Olmsted Ctr";"5/23/2025";"$ 85 000 -$ 100 000"
714424;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"SUPERVISOR OF MECHANICS(MECHAN";"Building Operations & Maintanence";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"5/21/2025";"More than $ 140 000"
686285;"DEPT OF YOUTH & COMM DEV SRVS";"External";1;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"2 Lafayette St., N.Y.";"4/7/2025";"$ 85 000 -$ 100 000"
572056;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"CITY RESEARCH SCIENTIST";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"96-05 Horace Harding Expway";"3/28/2023";"$ 100 000 - $ 120 000"
705585;"BRONX DISTRICT ATTORNEY";"Internal";1;"COMMUNITY ASSOCIATE";"Communications & Intergovernmental Affairs";"Full-Time";"Experienced (non-manager)";"198 E161St Street Bronx N.Y.";"3/6/2025";"$ 45 000 - $ 55 000"
614773;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ASSOCIATE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"71 Smith Avenue, Kingston, Ny";"12/13/2023";"$ 120 000 - $ 140 000"
614691;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE CONSTRUCTION PR";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"465 Columbus Ave. Valhalla, Ny";"11/27/2023";"More than $ 140 000"
