JOB_ID,Agency,Posting_Type,Number_Of_Positions,Civil_Service_Title,Job_Category,Full_Time_Part_Time_Indicator,Career_Level,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Posting_Date
631762,HRA/DEPT OF SOCIAL SERVICES,Internal,1,PRINCIPAL ADMINISTRATIVE ASSOC,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),64137,73758,Annual,375 Pearl Street,3/29/2024
645891,DEPT OF ENVIRONMENT PROTECTION,External,2,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,59-17 Junction Blvd Corona Ny,8/19/2024
638323,HRA/DEPT OF SOCIAL SERVICES,Internal,1,PRINCIPAL ADMINISTRATIVE ASSOC,Social Services,F,Experienced (non-manager),57976,66672,Annual,4 World Trade Center,6/13/2024
710034,DEPT OF HEALTH/MENTAL HYGIENE,External,1,SR HEALTHCARE PROG PLAN ANLYST,Health,F,Experienced (non-manager),70215,72000,Annual,42-09 28th Street,4/7/2025
714598,DEPARTMENT OF FINANCE,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources Communications & Intergovernmental Affairs,F,Experienced (non-manager),59715,68672,Annual,"66 John Street, New York, Ny",5/20/2025
557379,HRA/DEPT OF SOCIAL SERVICES,Internal,1,CLERICAL ASSOCIATE,Administration & Human Resources,F,Experienced (non-manager),36390,41848,Annual,"123 William Street, NY, NY",10/25/2022
703210,DEPT OF ENVIRONMENT PROTECTION,External,1,SUMMER COLLEGE INTERN,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Student,16.88,16.88,Hourly,96-05 Horace Harding Expway,2/18/2025
628530,HRA/DEPT OF SOCIAL SERVICES,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources Social Services,F,Experienced (non-manager),64137,73758,Annual,4 World Trade Center,3/6/2024
715489,DEPT OF PARKS & RECREATION,External,1,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60889,94521,Annual,Flushing Meadow Pk Olmsted Ctr,5/23/2025
714424,DEPARTMENT OF TRANSPORTATION,Internal,1,SUPERVISOR OF MECHANICS(MECHAN,Building Operations & Maintenance,F,Experienced (non-manager),144188,191227,Annual,55 Water St Ny Ny,5/21/2025
686285,DEPT OF YOUTH & COMM DEV SRVS,External,1,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60889,94521,Annual,"2 Lafayette St., N.Y.",4/7/2025
